date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
2005-04-01,815753,482,381,224,807,69
2005-04-16,119327,081,968,346,627,10
2005-05-02,772467,017,383,815,073,43
2005-05-16,867134,376,648,465,693,97
2005-06-01,176893,176,579,616,405,35
2005-06-16,793070,806,021,074,605,44
2005-07-01,009554,798,427,641,244,87
2005-07-16,477452,757,150,460,642,13
2005-08-01,961633,055,152,386,272,26
2005-08-16,475560,272,844,103,915,68
2005-09-01,316933,123,338,969,047,17
2005-09-16,214768,498,282,124,057,10
2005-10-01,766482,766,551,792,275,24
2005-10-16,041072,346,913,410,269,71
2005-11-01,970577,171,375,009,216,98
2005-11-16,742518,502,741,887,137,80
2005-12-01,388551,072,764,027,770,17
2005-12-16,449565,802,162,958,994,86
2005-12-30,492955,066,308,742,150,94
2006-01-16,432747,222,789,965,200,79
2006-02-01,412729,915,720,149,384,87
2006-02-16,317009,784,240,135,280,66
2006-03-01,582473,586,801,108,914,43
2006-03-16,936177,486,185,205,320,30
2006-04-01,738365,064,955,301,522,95
2006-04-16,038564,210,442,769,877,49
2006-05-02,024554,006,438,082,117,27
2006-05-16,100344,386,463,811,696,71
2006-06-01,810850,526,149,382,664,99
2006-06-16,100935,381,410,595,250,17
2006-07-01,952890,126,183,017,839,65
2006-07-16,512434,989,098,518,432,48
2006-08-01,238654,847,005,817,487,88
2006-08-16,977486,221,305,230,103,91
2006-09-01,381761,600,693,093,626,44
2006-09-16,217948,916,290,864,121,41
2006-10-01,952335,007,804,879,951,92
2006-10-16,264825,903,092,358,832,58
2006-11-01,910957,647,739,137,905,29
2006-11-16,562856,508,307,680,347,94
2006-12-01,270052,621,462,091,236,12
2006-12-16,147977,439,694,647,197,45
2006-12-30,778584,811,403,164,971,07
2007-01-16,838739,293,263,845,803,55
2007-02-01,769925,893,239,287,865,56
2007-02-16,277859,625,607,979,384,95
2007-03-01,742425,949,294,942,801,61
2007-03-16,876763,191,001,906,350,85
2007-04-01,622780,677,794,814,022,93
2007-04-16,405105,013,987,866,522,63
2007-05-02,430374,553,442,881,729,81
2007-05-16,232897,924,858,751,585,25
2007-06-01,836393,739,242,523,433,05
2007-06-16,393194,989,907,424,589,41
2007-07-01,565151,146,287,638,949,76
2007-07-16,527384,105,183,334,947,77
2007-08-01,429924,006,048,885,962,29
2007-08-16,476207,234,236,312,424,93
2007-09-01,331810,293,505,518,520,69
2007-09-16,499336,247,273,604,608,45
2007-10-01,430667,090,104,126,667,76
2007-10-16,032988,158,663,685,846,48
2007-11-01,927907,213,277,524,648,88
2007-11-16,562481,130,198,752,844,73
2007-12-01,113410,418,485,627,659,18
2007-12-16,513501,425,432,460,702,96
2007-12-30,595411,267,490,741,787,81
2008-01-16,556010,413,548,942,965,81
2008-02-01,212684,311,472,732,796,26
2008-02-16,137054,344,512,630,892,80
2008-03-01,936685,056,085,371,691,05
2008-03-16,074946,077,974,085,158,33
2008-04-01,012653,124,195,200,586,71
2008-04-16,982800,802,584,043,008,64
2008-05-02,453011,001,133,001,792,62
2008-05-16,329231,193,120,355,214,69
2008-06-01,414875,370,666,747,916,35
2008-06-16,729111,339,345,639,870,75
2008-07-01,943671,096,287,490,523,50
2008-07-16,257374,344,401,486,576,41
2008-08-01,850348,236,386,408,913,11
2008-08-16,380377,161,445,457,744,36
2008-09-01,695993,027,206,413,904,09
2008-09-16,012377,378,534,557,691,56
2008-10-01,882911,204,302,311,395,67
2008-10-16,431277,324,526,644,648,98
2008-11-01,272028,285,333,421,929,76
2008-11-16,002612,068,589,824,877,20
